Year,Province
1576,Yunnan
1580,Guangdong
1593,Fujian
1608,Jiangsu
1608,Zhejiang
1733,Sichuan
1736,Guangxi
1736,Jiangxi
1740,Hubei
1742,Shandong
1743,Henan
1746,Hunan
1746,Shaanxi
1748,Zhili
1752,Guizhou
1756,Shanxi
1768,Anhui
